"Frecuencia(Hz)		",mm/Seg(PC)
3.125,0.697092
4.6875,0.65325
6.25,0.762856
7.8125,0.596255
9.375,0.523915
10.9375,0.510763
12.5,0.440615
14.0625,1.096057
15.625,1.657238
17.1875,0.771624
18.75,0.357315
20.3125,0.284975
21.875,0.234556
23.4375,0.232364
25,0.257573
26.5625,0.266342
28.125,0.195098
29.6875,0.190714
31.25,0.192906
32.8125,0.236748
34.375,0.207155
35.9375,0.133171
37.5,0.230172
39.0625,0.133171
40.625,0.139199
42.1875,0.10577
43.75,0.118374
45.3125,0.149064
46.875,0.982067
48.4375,4.664819
50,4.629745
51.5625,0.946993
53.125,0.149064
54.6875,0.095357
56.25,0.098645
57.8125,0.110154
59.375,0.163313
60.9375,0.07234
62.5,0.149064
64.0625,0.298128
65.625,0.224692
67.1875,0.098645
68.75,0.063297
70.3125,0.063845
71.875,0.082752
73.4375,0.063297
75,0.055077
76.5625,0.0696
78.125,0.08056
79.6875,0.127691
81.25,0.220307
82.8125,0.132075
84.375,0.055077
85.9375,0.04713
87.5,0.055625
89.0625,0.052885
90.625,0.076724
92.1875,0.055077
93.75,0.070696
95.3125,0.473497
96.875,0.846156
98.4375,0.390196
100,0.075628
101.5625,0.064393
103.125,0.048775
104.6875,0.035622
106.25,0.044664
107.8125,0.044664
109.375,0.064393
110.9375,0.093165
112.5,0.112346
114.0625,0.067134
115.625,0.055625
117.1875,0.051241
118.75,0.052337
120.3125,0.044664
121.875,0.034526
123.4375,0.046034
125,0.053981
126.5625,0.04028
128.125,0.054529
129.6875,0.066585
131.25,0.051241
132.8125,0.03891
134.375,0.044664
135.9375,0.028771
137.5,0.033841
139.0625,0.026168
140.625,0.034252
142.1875,0.046582
143.75,0.081656
145.3125,0.057543
146.875,0.030142
148.4375,0.044664
150,0.04302
151.5625,0.02932
153.125,0.025894
154.6875,0.036444
156.25,0.04302
157.8125,0.053981
159.375,0.051789
160.9375,0.071244
162.5,0.065489
164.0625,0.082752
165.625,0.075628
167.1875,0.064941
168.75,0.081656
170.3125,0.095357
171.875,0.097549
173.4375,0.126595
175,0.184138
176.5625,0.195098
178.125,0.157832
179.6875,0.140295
181.25,0.084944
182.8125,0.048227
184.375,0.066037
185.9375,0.053981
187.5,0.061927
189.0625,0.045486
190.625,0.056995
192.1875,0.199482
193.75,0.31128
195.3125,0.15564
196.875,0.112346
198.4375,0.117278
200,0.190714
201.5625,0.090973
