Frecuencia(Hz),mm/Seg(PC)
3.125,0.532684
4.6875,0.429654
6.25,0.519531
7.8125,0.62256
9.375,0.504186
10.9375,0.453768
12.5,0.320049
14.0625,1.3065
15.625,1.850144
17.1875,0.784777
18.75,0.458152
20.3125,0.254285
21.875,0.287167
23.4375,0.188522
25,0.219211
26.5625,0.287167
28.125,0.209347
29.6875,0.339778
31.25,0.298128
32.8125,0.23346
34.375,0.306896
35.9375,0.240037
37.5,0.146872
39.0625,0.18633
40.625,0.247709
42.1875,0.259766
43.75,0.172081
45.3125,0.223596
46.875,0.885614
48.4375,4.156249
50,3.858121
51.5625,0.65325
53.125,0.23346
54.6875,0.14468
56.25,0.128239
57.8125,0.298128
59.375,0.381428
60.9375,0.210443
62.5,0.266342
64.0625,0.548029
65.625,0.418694
67.1875,0.115634
68.75,0.128787
70.3125,0.113442
71.875,0.129883
73.4375,0.46692
75,0.495418
76.5625,0.143583
78.125,0.099193
79.6875,0.207155
81.25,0.335393
82.8125,0.194002
84.375,0.115634
85.9375,0.11673
87.5,0.075628
89.0625,0.192906
90.625,0.188522
92.1875,0.08604
93.75,0.078916
95.3125,0.578718
96.875,0.999604
98.4375,0.480073
100,0.214827
101.5625,0.137007
103.125,0.096453
104.6875,0.102481
106.25,0.08056
107.8125,0.058913
109.375,0.075628
110.9375,0.207155
112.5,0.210443
114.0625,0.066585
115.625,0.106318
117.1875,0.10851
118.75,0.068504
120.3125,0.042472
121.875,0.053707
123.4375,0.064941
125,0.064393
126.5625,0.061379
128.125,0.0696
129.6875,0.054255
131.25,0.048501
132.8125,0.048227
134.375,0.078916
135.9375,0.07782
137.5,0.07782
139.0625,0.067682
140.625,0.076724
142.1875,0.103577
143.75,0.090973
145.3125,0.063571
146.875,0.057817
148.4375,0.071792
150,0.040006
151.5625,0.046582
153.125,0.064941
154.6875,0.060831
156.25,0.058913
157.8125,0.046034
159.375,0.046582
160.9375,0.053159
162.5,0.088233
164.0625,0.096453
165.625,0.050693
167.1875,0.049597
168.75,0.071792
170.3125,0.080012
171.875,0.068504
173.4375,0.037814
175,0.04439
176.5625,0.062475
178.125,0.096453
179.6875,0.101385
181.25,0.080012
182.8125,0.050145
184.375,0.042472
185.9375,0.07234
187.5,0.061927
189.0625,0.061379
190.625,0.112894
192.1875,0.355123
193.75,0.381428
195.3125,0.121662
196.875,0.120566
198.4375,0.210443
200,0.355123
201.5625,0.192906
203.125,0.063571
204.6875,0.049049
206.25,0.053707
207.8125,0.054255
209.375,0.052337
210.9375,0.048227
212.5,0.063023
214.0625,0.068504
215.625,0.048501
217.1875,0.04028
218.75,0.049049
220.3125,0.049597
221.875,0.053707
223.4375,0.065489
225,0.047678
226.5625,0.054803
228.125,0.043568
229.6875,0.075628
231.25,0.099193
232.8125,0.068504
234.375,0.066585
235.9375,0.044938
237.5,0.065489
239.0625,0.082752
240.625,0.060283
242.1875,0.07234
243.75,0.160024
245.3125,0.35293
246.875,0.344162
248.4375,0.196194
250,0.103577
251.5625,0.106318
253.125,0.095357
254.6875,0.080012
256.25,0.113442
257.8125,0.129883
259.375,0.149064
260.9375,0.129883
262.5,0.107414
264.0625,0.067682
265.625,0.092069
267.1875,0.095357
268.75,0.070696
270.3125,0.08056
271.875,0.080012
273.4375,0.096453
275,0.07782
276.5625,0.050145
278.125,0.041376
279.6875,0.036718
281.25,0.036718
282.8125,0.030005
284.375,0.027949
285.9375,0.04439
287.5,0.049049
289.0625,0.18633
290.625,0.207155
292.1875,0.067682
293.75,0.059461
295.3125,0.090973
296.875,0.102481
298.4375,0.054803
300,0.101385
301.5625,0.046582
303.125,0.021236
304.6875,0.052337
306.25,0.051241
307.8125,0.038362
309.375,0.035348
310.9375,0.207155
312.5,0.348546
314.0625,0.149064
315.625,0.029457
317.1875,0.023291
318.75,0.022058
320.3125,0.042472
321.875,0.080012
323.4375,0.054255
325,0.024798
326.5625,0.04439
328.125,0.039458
329.6875,0.031512
331.25,0.028634
332.8125,0.033293
334.375,0.034252
335.9375,0.034252
337.5,0.056721
339.0625,0.036718
340.625,0.023291
342.1875,0.045486
343.75,0.07234
345.3125,0.052611
346.875,0.029457
348.4375,0.026579
350,0.027949
351.5625,0.024113
353.125,0.033293
354.6875,0.037814
356.25,0.029183
357.8125,0.02151
359.375,0.022743
360.9375,0.023291
362.5,0.015345
364.0625,0.020003
365.625,0.026579
367.1875,0.030005
368.75,0.0348
370.3125,0.101385
371.875,0.126047
373.4375,0.050693
375,0.037814
376.5625,0.038362
378.125,0.024113
379.6875,0.026579
381.25,0.043568
382.8125,0.048227
384.375,0.409925
385.9375,1.718618
387.5,1.569554
389.0625,0.274014
390.625,0.052337
392.1875,0.042472
393.75,0.056447
395.3125,0.027401
396.875,0.038362
398.4375,0.034252
400,0.055351
401.5625,0.121662
403.125,0.096453
404.6875,0.049597
406.25,0.051789
407.8125,0.053159
409.375,0.044116
410.9375,0.041924
412.5,0.056447
414.0625,0.053159
415.625,0.049597
417.1875,0.088233
418.75,0.133171
420.3125,0.097001
