"Frecuencia(Hz)	",mm/Seg(PC)
1.541016,0.405541
2.311523,0.295935
3.082031,0.229076
3.852539,0.246613
4.623047,0.202771
5.393555,0.223596
6.164063,0.229076
6.93457,0.165505
7.705078,0.26963
8.475586,0.26415
9.246094,0.326625
10.0166,0.486649
10.78711,0.451576
11.55762,0.451576
12.32813,0.440615
13.09863,0.423078
13.86914,0.357315
14.63965,0.486649
15.41016,0.53926
16.18066,0.754087
16.95117,0.600639
17.72168,0.556797
18.49219,0.348546
19.2627,0.241133
20.0332,0.252093
20.80371,0.243325
21.57422,0.267438
22.34473,0.121662
23.11523,0.118922
23.88574,0.126047
24.65625,0.166601
25.42676,0.126047
26.19727,0.14468
26.96777,0.136459
27.73828,0.241133
28.50879,0.211539
29.2793,0.220307
30.0498,0.252093
30.82031,0.169889
31.59082,0.14468
32.36133,0.14468
33.13184,0.123306
33.90234,0.179753
34.67285,0.19729
35.44336,0.132075
36.21387,0.109058
36.98438,0.117278
37.75488,0.100289
38.52539,0.0696
39.2959,0.103029
40.06641,0.074532
40.83691,0.060283
41.60742,0.063023
42.37793,0.073984
43.14844,0.083848
43.91895,0.081656
44.68945,0.111798
45.45996,0.146872
46.23047,0.123306
47.00098,0.139199
47.77148,0.223596
48.54199,1.262658
49.3125,2.279799
50.08301,1.069752
50.85352,0.084944
51.62402,0.098645
52.39453,0.089329
53.16504,0.070148
53.93555,0.066859
54.70605,0.057269
55.47656,0.070148
56.24707,0.069052
57.01758,0.044938
57.78809,0.058091
58.55859,0.059461
59.3291,0.082752
60.09961,0.06823
60.87012,0.08604
61.64063,0.08604
62.41113,0.133719
63.18164,0.118922
63.95215,0.19729
64.72266,0.202771
65.49316,0.109058
66.26367,0.084944
67.03418,0.061653
67.80469,0.055899
68.5752,0.100289
69.3457,0.092617
70.11621,0.070148
70.88672,0.065215
71.65723,0.066859
72.42773,0.08056
73.19824,0.053707
73.96875,0.087137
74.73926,0.051515
75.50977,0.066037
76.28027,0.06823
77.05078,0.067408
77.82129,0.074532
78.5918,0.169889
79.3623,0.174273
80.13281,0.10577
80.90332,0.10577
81.67383,0.0833
82.44434,0.061653
83.21484,0.062475
83.98535,0.074532
84.75586,0.055077
85.52637,0.064667
86.29688,0.035896
87.06738,0.044664
87.83789,0.038362
88.6084,0.050145
89.37891,0.066037
90.14941,0.084944
90.91992,0.094261
91.69043,0.087137
92.46094,0.081108
93.23145,0.098645
94.00195,0.076176
94.77246,0.114538
95.54297,0.15016
96.31348,0.999604
97.08398,1.376648
97.85449,0.486649
98.625,0.157832
99.39551,0.194002
100.166,0.249901
100.9365,0.08604
101.707,0.045212
102.4775,0.035622
103.248,0.022058
104.0186,0.019592
104.7891,0.018085
105.5596,0.023565
106.3301,0.022058
107.1006,0.031512
107.8711,0.058639
108.6416,0.066859
109.4121,0.049323
110.1826,0.081108
110.9531,0.071792
111.7236,0.052337
112.4941,0.055899
113.2646,0.071792
114.0352,0.082752
114.8057,0.087685
115.5762,0.044664
116.3467,0.039732
117.1172,0.0348
117.8877,0.031512
118.6582,0.028634
119.4287,0.035074
120.1992,0.033019
120.9697,0.034526
121.7402,0.041376
122.5107,0.042746
123.2813,0.041924
124.0518,0.03754
124.8223,0.04713
125.5928,0.030416
126.3633,0.039184
127.1338,0.03617
127.9043,0.063845
128.6748,0.097001
129.4453,0.083848
130.2158,0.044116
130.9863,0.035074
131.7568,0.028223
132.5273,0.02932
133.2979,0.02288
134.0684,0.023976
134.8389,0.058091
135.6094,0.056447
136.3799,0.036992
137.1504,0.04165
137.9209,0.060283
138.6914,0.066859
139.4619,0.04713
140.2324,0.058091
141.0029,0.095905
141.7734,0.123306
142.5439,0.139199
143.3145,0.143583
144.085,0.249901
144.8555,0.313472
145.626,0.846156
146.3965,1.056599
147.167,0.894383
147.9375,1.157436
148.708,0.440615
149.4785,0.143583
150.249,0.110154
151.0195,0.30032
151.79,0.30032
152.5605,0.111798
153.3311,0.058639
154.1016,0.073984
154.8721,0.061653
155.6426,0.074532
156.4131,0.076724
157.1836,0.076724
157.9541,0.055899
158.7246,0.107414
159.4951,0.163313
160.2656,0.114538
161.0361,0.117278
161.8066,0.127691
162.5771,0.101385
163.3477,0.136459
164.1182,0.123306
164.8887,0.098645
165.6592,0.085492
166.4297,0.103029
167.2002,0.142487
167.9707,0.117278
168.7412,0.114538
169.5117,0.091521
170.2822,0.172081
171.0527,0.232364
171.8232,0.229076
172.5938,0.188522
173.3643,0.147968
174.1348,0.134815
174.9053,0.118922
175.6758,0.100289
176.4463,0.142487
177.2168,0.15016
177.9873,0.134815
178.7578,0.098645
179.5283,0.066037
180.2988,0.052337
181.0693,0.055899
181.8398,0.050145
182.6104,0.045212
183.3809,0.042746
184.1514,0.047952
184.9219,0.039184
185.6924,0.036992
186.4629,0.031238
187.2334,0.040554
188.0039,0.048501
188.7744,0.03617
189.5449,0.035074
190.3154,0.034115
191.0859,0.038362
191.8564,0.095905
192.627,0.100289
193.3975,0.38362
194.168,0.418694
194.9385,0.154544
195.709,0.110154
196.4795,0.136459
197.25,0.188522
198.0205,0.061653
198.791,0.053707
199.5615,0.142487
200.332,0.147968
201.1025,0.052337
201.873,0.039458
202.6436,0.044664
203.4141,0.04302
204.1846,0.027538
204.9551,0.02425
205.7256,0.027538
206.4961,0.046308
207.2666,0.050145
208.0371,0.049323
208.8076,0.040554
209.5781,0.041376
210.3486,0.076176
211.1191,0.078916
211.8896,0.063845
212.6602,0.085492
213.4307,0.089329
214.2012,0.123306
214.9717,0.184138
215.7422,0.124951
216.5127,0.107414
217.2832,0.103029
218.0537,0.058091
218.8242,0.058091
219.5947,0.087685
220.3652,0.147968
221.1357,0.089329
221.9063,0.030416
222.6768,0.023565
223.4473,0.038636
224.2178,0.039184
224.9883,0.035622
225.7588,0.030416
226.5293,0.027538
227.2998,0.059461
228.0703,0.088233
228.8408,0.050693
229.6113,0.038636
230.3818,0.04028
231.1523,0.059461
231.9229,0.04028
232.6934,0.026168
233.4639,0.031512
234.2344,0.026168
235.0049,0.047952
235.7754,0.042746
236.5459,0.03343
237.3164,0.036992
238.0869,0.025346
238.8574,0.033019
239.6279,0.046034
240.3984,0.053707
241.1689,0.078368
241.9395,0.073436
242.71,0.098645
243.4805,0.095905
244.251,0.097001
245.0215,0.065215
245.792,0.289359
246.5625,0.322241
247.333,0.06823
248.1035,0.16112
248.874,0.044116
249.6445,0.023976
250.415,0.030142
251.1855,0.038362
251.9561,0.038362
252.7266,0.038636
253.4971,0.030827
254.2676,0.02932
255.0381,0.02288
255.8086,0.038362
256.5791,0.042472
257.3496,0.04028
258.1201,0.053707
258.8906,0.049323
259.6611,0.074532
260.4316,0.073436
261.2021,0.04713
261.9727,0.036718
262.7432,0.035074
263.5137,0.043568
264.2842,0.041376
265.0547,0.040554
265.8252,0.044664
266.5957,0.049323
267.3662,0.04028
268.1367,0.038636
268.9072,0.035074
269.6777,0.02932
270.4482,0.027949
271.2188,0.02932
271.9893,0.044664
272.7598,0.042472
273.5303,0.04165
274.3008,0.03343
275.0713,0.029731
275.8418,0.036992
276.6123,0.026853
277.3828,0.027264
278.1533,0.024661
278.9238,0.029046
279.6943,0.025757
280.4648,0.020688
281.2354,0.021784
282.0059,0.019592
282.7764,0.018085
283.5469,0.015208
284.3174,0.020277
285.0879,0.026168
285.8584,0.01877
286.6289,0.014865
287.3994,0.030142
288.1699,0.021784
288.9404,0.055077
289.7109,0.194002
290.4814,0.469112
291.252,0.306896
292.0225,0.073436
292.793,0.047952
293.5635,0.031923
294.334,0.049323
295.1045,0.049323
295.875,0.037266
296.6455,0.038088
297.416,0.033704
298.1865,0.019592
298.957,0.025757
299.7275,0.04576
300.498,0.039184
301.2686,0.028223
302.0391,0.031512
302.8096,0.04028
303.5801,0.026442
304.3506,0.031238
305.1211,0.027949
305.8916,0.02932
306.6621,0.042472
307.4326,0.040554
308.2031,0.052337
308.9736,0.042746
309.7441,0.020688
310.5146,0.023976
311.2852,0.041376
312.0557,0.165505
312.8262,0.754087
313.5967,0.754087
314.3672,0.175369
