Frecuencia(Hz),"	mm/Seg(PC)"
1.541016,1.972903
2.311523,0.946993
3.082031,0.506378
3.852539,0.200578
4.623047,0.366083
5.393555,0.268534
6.164063,0.201675
6.93457,0.113442
7.705078,0.068778
8.475586,0.071792
9.246094,0.08056
10.0166,0.162216
10.78711,0.158928
11.55762,0.052063
12.32813,0.073436
13.09863,0.075628
13.86914,0.087685
14.63965,0.093165
15.41016,0.187426
16.18066,0.175369
16.95117,0.078916
17.72168,0.098645
18.49219,0.104125
19.2627,0.078916
20.0332,0.058365
20.80371,0.041924
21.57422,0.026031
22.34473,0.041102
23.11523,0.041376
23.88574,0.073984
24.65625,0.08056
25.42676,0.035896
26.19727,0.070696
26.96777,0.041102
27.73828,0.043842
28.50879,0.038362
29.2793,0.03754
30.0498,0.04302
30.82031,0.029594
31.59082,0.03754
32.36133,0.050419
33.13184,0.064667
33.90234,0.035896
34.67285,0.041924
35.44336,0.038362
36.21387,0.029183
36.98438,0.023017
37.75488,0.043842
38.52539,0.053707
39.2959,0.02562
40.06641,0.017948
40.83691,0.026442
41.60742,0.024524
42.37793,0.027675
43.14844,0.019318
43.91895,0.019455
44.68945,0.029183
45.45996,0.02836
46.23047,0.023017
47.00098,0.03754
47.77148,0.109058
48.54199,1.972903
49.3125,3.209255
50.08301,1.297732
50.85352,0.061653
51.62402,0.042472
52.39453,0.032334
53.16504,0.023702
53.93555,0.020551
54.70605,0.029183
55.47656,0.026853
56.24707,0.015208
57.01758,0.013632
57.78809,0.024661
58.55859,0.03754
59.3291,0.022058
60.09961,0.019318
60.87012,0.02014
61.64063,0.015619
62.41113,0.018085
63.18164,0.028771
63.95215,0.078916
64.72266,0.095357
65.49316,0.030005
66.26367,0.008837
67.03418,0.017194
67.80469,0.021236
68.5752,0.014043
69.3457,0.012605
70.11621,0.016783
70.88672,0.021099
71.65723,0.018496
72.42773,0.016989
73.19824,0.019866
73.96875,0.024798
74.73926,0.022469
75.50977,0.015002
76.28027,0.014386
77.05078,0.01418
77.82129,0.011851
78.5918,0.015824
79.3623,0.015619
80.13281,0.016783
80.90332,0.016989
81.67383,0.015824
82.44434,0.017948
83.21484,0.015619
83.98535,0.013632
84.75586,0.02014
85.52637,0.01418
86.29688,0.014591
87.06738,0.012399
87.83789,0.014797
88.6084,0.008837
89.37891,0.015961
90.14941,0.025209
90.91992,0.017674
91.69043,0.01007
92.46094,0.020277
93.23145,0.031923
94.00195,0.043842
94.77246,0.046582
95.54297,0.123306
96.31348,0.701477
97.08398,0.819851
97.85449,0.236748
98.625,0.079464
99.39551,0.121662
100.166,0.158928
100.9365,0.055351
101.707,0.026853
102.4775,0.031238
103.248,0.02425
104.0186,0.016167
104.7891,0.017674
105.5596,0.020551
106.3301,0.026853
107.1006,0.021921
107.8711,0.01144
108.6416,0.023017
109.4121,0.013221
110.1826,0.017674
110.9531,0.016167
111.7236,0.02836
112.4941,0.035896
113.2646,0.02562
114.0352,0.025209
114.8057,0.026031
115.5762,0.020551
116.3467,0.015824
117.1172,0.01877
117.8877,0.016578
118.6582,0.016167
119.4287,0.018359
120.1992,0.015961
120.9697,0.01281
121.7402,0.016989
122.5107,0.012399
123.2813,0.012057
124.0518,0.013427
124.8223,0.012399
125.5928,0.020277
126.3633,0.018085
127.1338,0.017537
127.9043,0.023017
128.6748,0.041376
129.4453,0.031649
130.2158,0.013427
130.9863,0.026442
131.7568,0.02836
132.5273,0.026031
133.2979,0.023428
134.0684,0.020688
134.8389,0.015208
135.6094,0.017537
136.3799,0.019318
137.1504,0.018085
137.9209,0.021647
138.6914,0.034389
139.4619,0.028771
140.2324,0.031923
141.0029,0.042472
141.7734,0.037814
142.5439,0.04576
143.3145,0.04576
144.085,0.084396
144.8555,0.08604
145.626,0.236748
146.3965,0.246613
147.167,0.11673
147.9375,0.115086
148.708,0.053707
149.4785,0.033567
150.249,0.049597
151.0195,0.102481
151.79,0.089877
152.5605,0.035074
153.3311,0.025072
154.1016,0.02836
154.8721,0.018907
155.6426,0.032334
156.4131,0.03617
157.1836,0.033567
157.9541,0.046856
158.7246,0.051241
159.4951,0.063297
160.2656,0.048227
161.0361,0.112346
161.8066,0.102481
162.5771,0.08604
163.3477,0.110702
164.1182,0.124951
164.8887,0.139199
165.6592,0.092069
166.4297,0.139199
167.2002,0.10577
167.9707,0.110702
168.7412,0.154544
169.5117,0.15016
170.2822,0.211539
171.0527,0.328817
171.8232,0.31128
172.5938,0.322241
173.3643,0.381428
174.1348,0.265246
174.9053,0.23346
175.6758,0.243325
176.4463,0.282783
177.2168,0.204963
177.9873,0.278399
178.7578,0.218115
179.5283,0.172081
180.2988,0.19729
181.0693,0.147968
181.8398,0.179753
182.6104,0.110702
183.3809,0.084396
184.1514,0.123306
184.9219,0.094809
185.6924,0.093165
186.4629,0.097001
187.2334,0.084396
188.0039,0.08056
188.7744,0.109058
189.5449,0.097001
190.3154,0.110702
191.0859,0.091521
191.8564,0.08604
192.627,0.15016
193.3975,0.473497
194.168,0.449383
194.9385,0.16112
195.709,0.107414
196.4795,0.189618
197.25,0.162216
198.0205,0.058365
198.791,0.059187
199.5615,0.23346
200.332,0.271822
201.1025,0.082204
201.873,0.048501
202.6436,0.054529
203.4141,0.050145
204.1846,0.036992
204.9551,0.03617
205.7256,0.03754
206.4961,0.056721
207.2666,0.070148
208.0371,0.070148
208.8076,0.073436
209.5781,0.056721
210.3486,0.100837
211.1191,0.093165
211.8896,0.098097
212.6602,0.089877
213.4307,0.077272
214.2012,0.094809
214.9717,0.070148
215.7422,0.084396
216.5127,0.082204
217.2832,0.062475
218.0537,0.045486
218.8242,0.033156
219.5947,0.04028
220.3652,0.057543
221.1357,0.032334
221.9063,0.044116
222.6768,0.049597
223.4473,0.03754
224.2178,0.058365
224.9883,0.10577
225.7588,0.214827
226.5293,0.140295
227.2998,0.083848
228.0703,0.067134
228.8408,0.047404
229.6113,0.055351
230.3818,0.056173
231.1523,0.071792
231.9229,0.070148
232.6934,0.0696
233.4639,0.083848
234.2344,0.071792
235.0049,0.059187
235.7754,0.070696
236.5459,0.051241
237.3164,0.067956
238.0869,0.098097
238.8574,0.130979
239.6279,0.083848
240.3984,0.067956
241.1689,0.129335
241.9395,0.10577
242.71,0.151256
243.4805,0.112346
244.251,0.115086
245.0215,0.140295
245.792,0.154544
246.5625,0.143583
247.333,0.107414
248.1035,0.073436
248.874,0.082204
249.6445,0.110702
250.415,0.121662
251.1855,0.115086
251.9561,0.094809
252.7266,0.092069
253.4971,0.093713
254.2676,0.126595
255.0381,0.127691
255.8086,0.120018
256.5791,0.091521
257.3496,0.098097
258.1201,0.16112
258.8906,0.139199
259.6611,0.123306
260.4316,0.102481
261.2021,0.123306
261.9727,0.109058
262.7432,0.089877
263.5137,0.082204
264.2842,0.070696
265.0547,0.060831
265.8252,0.062475
266.5957,0.051241
267.3662,0.063845
268.1367,0.075628
268.9072,0.055351
269.6777,0.042198
270.4482,0.037814
271.2188,0.040554
271.9893,0.03891
272.7598,0.060831
273.5303,0.07234
274.3008,0.043294
275.0713,0.054529
275.8418,0.042198
276.6123,0.053707
277.3828,0.027675
278.1533,0.033978
278.9238,0.039732
279.6943,0.029183
280.4648,0.030416
281.2354,0.03617
282.0059,0.033978
282.7764,0.042198
283.5469,0.03754
284.3174,0.027264
285.0879,0.039732
285.8584,0.044116
286.6289,0.035896
287.3994,0.039732
