Frecuencia(Hz),"	mm/Seg(PC)"
3.125,0.596255
4.6875,0.578718
6.25,0.587487
7.8125,0.398965
9.375,0.50857
10.9375,0.635713
12.5,0.578718
14.0625,0.679555
15.625,0.942609
17.1875,0.5283
18.75,0.335393
20.3125,0.328817
21.875,0.34197
23.4375,0.207155
25,0.184138
26.5625,0.164409
28.125,0.163313
29.6875,0.254285
31.25,0.254285
32.8125,0.188522
34.375,0.166601
35.9375,0.213731
37.5,0.250997
39.0625,0.19181
40.625,0.26963
42.1875,0.247709
43.75,0.15016
45.3125,0.23894
46.875,1.42049
48.4375,6.383437
50,6.067772
51.5625,1.117978
53.125,0.203867
54.6875,0.15564
56.25,0.130431
57.8125,0.458152
59.375,0.5283
60.9375,0.199482
62.5,0.175369
64.0625,0.491034
65.625,0.357315
67.1875,0.098097
68.75,0.101933
70.3125,0.083848
71.875,0.067408
73.4375,0.210443
75,0.229076
76.5625,0.084944
78.125,0.093165
79.6875,0.090973
81.25,0.082204
82.8125,0.083848
84.375,0.097549
85.9375,0.092069
87.5,0.059735
89.0625,0.184138
90.625,0.153448
92.1875,0.10851
93.75,0.106866
95.3125,0.640097
96.875,1.069752
98.4375,0.471305
100,0.15564
101.5625,0.064393
103.125,0.065215
104.6875,0.110154
106.25,0.116182
107.8125,0.085492
109.375,0.083848
110.9375,0.063571
112.5,0.067408
114.0625,0.066037
115.625,0.059735
117.1875,0.059735
118.75,0.041102
120.3125,0.040006
121.875,0.045486
123.4375,0.057269
125,0.060557
126.5625,0.04439
128.125,0.043568
129.6875,0.076724
131.25,0.08056
132.8125,0.11125
134.375,0.141391
135.9375,0.094809
137.5,0.071244
139.0625,0.071244
140.625,0.059735
142.1875,0.101933
143.75,0.31128
145.3125,0.370467
146.875,1.227584
148.4375,1.157436
150,0.477881
151.5625,0.440615
153.125,0.169889
154.6875,0.090425
156.25,0.14468
157.8125,0.217019
159.375,0.250997
160.9375,0.350738
162.5,0.272918
164.0625,0.196194
165.625,0.217019
167.1875,0.245517
168.75,0.370467
170.3125,0.484457
171.875,0.501994
173.4375,0.398965
175,0.31128
176.5625,0.379236
178.125,0.38362
179.6875,0.254285
181.25,0.196194
182.8125,0.180849
184.375,0.149064
185.9375,0.128787
187.5,0.123854
189.0625,0.122758
190.625,0.156736
192.1875,0.291551
193.75,0.407733
195.3125,0.189618
196.875,0.180849
198.4375,0.18633
200,0.379236
201.5625,0.207155
203.125,0.090425
204.6875,0.044664
206.25,0.061379
207.8125,0.098097
209.375,0.076724
210.9375,0.070696
212.5,0.076176
214.0625,0.067408
215.625,0.050145
217.1875,0.042472
218.75,0.03343
220.3125,0.040828
221.875,0.055077
223.4375,0.047952
225,0.040006
226.5625,0.051789
228.125,0.030279
229.6875,0.025894
231.25,0.045212
232.8125,0.032608
234.375,0.036444
235.9375,0.036718
237.5,0.048775
239.0625,0.058913
240.625,0.041924
242.1875,0.074532
243.75,0.123854
245.3125,0.298128
246.875,0.254285
248.4375,0.110154
250,0.042746
251.5625,0.04439
253.125,0.051789
254.6875,0.043842
256.25,0.055625
257.8125,0.087137
259.375,0.08056
260.9375,0.078368
262.5,0.081656
264.0625,0.047404
265.625,0.049049
267.1875,0.051789
268.75,0.059735
270.3125,0.046582
271.875,0.049871
273.4375,0.062749
275,0.061379
276.5625,0.047952
278.125,0.035622
279.6875,0.054255
281.25,0.048775
282.8125,0.033019
284.375,0.034115
285.9375,0.054255
287.5,0.076176
289.0625,0.26963
290.625,0.306896
292.1875,0.087685
293.75,0.055077
295.3125,0.061379
296.875,0.070696
298.4375,0.089329
300,0.116182
301.5625,0.052611
303.125,0.043842
304.6875,0.033704
306.25,0.053433
307.8125,0.057269
309.375,0.030964
310.9375,0.62256
312.5,1.174973
314.0625,0.56995
315.625,0.043842
317.1875,0.029457
318.75,0.030964
320.3125,0.039732
321.875,0.085492
323.4375,0.061927
325,0.025483
326.5625,0.03343
328.125,0.040828
329.6875,0.030279
331.25,0.024387
332.8125,0.014523
334.375,0.021921
335.9375,0.027127
337.5,0.061927
339.0625,0.041924
340.625,0.029868
342.1875,0.038088
343.75,0.042472
345.3125,0.03617
346.875,0.020414
348.4375,0.019592
350,0.025483
351.5625,0.026716
353.125,0.033704
354.6875,0.040006
356.25,0.034115
357.8125,0.04302
359.375,0.026305
360.9375,0.020825
362.5,0.018085
364.0625,0.022743
365.625,0.033019
367.1875,0.038362
368.75,0.03891
370.3125,0.06823
371.875,0.059735
373.4375,0.032197
375,0.033704
376.5625,0.03617
378.125,0.043842
379.6875,0.046034
381.25,0.047952
382.8125,0.125499
384.375,0.657634
385.9375,3.121571
387.5,3.06896
389.0625,0.635713
390.625,0.11125
392.1875,0.038362
393.75,0.058913
395.3125,0.040006
396.875,0.026716
398.4375,0.043842
400,0.045486
401.5625,0.043568
403.125,0.04165
404.6875,0.028223
406.25,0.042472
407.8125,0.050967
409.375,0.043568
410.9375,0.040828
412.5,0.04439
414.0625,0.054255
415.625,0.04028
417.1875,0.029046
418.75,0.055625
420.3125,0.053433
421.875,0.039732
423.4375,0.033019
425,0.026305
426.5625,0.03343
428.125,0.040828
429.6875,0.043568
431.25,0.037266
432.8125,0.045212
434.375,0.04302
435.9375,0.04713
437.5,0.08056
439.0625,0.079464
440.625,0.061379
442.1875,0.061379
443.75,0.069874
