Frecuencia(Hz),"	mm/Seg(PC)"
1.541016,0.88123
2.311523,0.662018
3.082031,0.666403
3.852539,0.578718
4.623047,0.447191
5.393555,0.436231
6.164063,0.339778
6.93457,0.346354
7.705078,0.355123
8.475586,0.403349
9.246094,0.381428
10.0166,0.460344
10.78711,0.359507
11.55762,0.317857
12.32813,0.346354
13.09863,0.423078
13.86914,0.596255
14.63965,0.554605
15.41016,0.960146
16.18066,0.819851
16.95117,0.372659
17.72168,0.309088
18.49219,0.298128
19.2627,0.293743
20.0332,0.180849
20.80371,0.274014
21.57422,0.240037
22.34473,0.243325
23.11523,0.189618
23.88574,0.282783
24.65625,0.274014
25.42676,0.18633
26.19727,0.165505
26.96777,0.135911
27.73828,0.135911
28.50879,0.126047
29.2793,0.158928
30.0498,0.201675
30.82031,0.118374
31.59082,0.271822
32.36133,0.248805
33.13184,0.366083
33.90234,0.317857
34.67285,0.180849
35.44336,0.190714
36.21387,0.137007
36.98438,0.113442
37.75488,0.104125
38.52539,0.154544
39.2959,0.102481
40.06641,0.151256
40.83691,0.23346
41.60742,0.113442
42.37793,0.095357
43.14844,0.061379
43.91895,0.063845
44.68945,0.07782
45.45996,0.081656
46.23047,0.102481
47.00098,0.18633
47.77148,0.245517
48.54199,1.008373
49.3125,1.490638
50.08301,0.523915
50.85352,0.11673
51.62402,0.11673
52.39453,0.098645
53.16504,0.081108
53.93555,0.073984
54.70605,0.056721
55.47656,0.052063
56.24707,0.047952
57.01758,0.060009
57.78809,0.07234
58.55859,0.07234
59.3291,0.0833
60.09961,0.073984
60.87012,0.073984
61.64063,0.087685
62.41113,0.154544
63.18164,0.23346
63.95215,0.184138
64.72266,0.211539
65.49316,0.143583
66.26367,0.093713
67.03418,0.097001
67.80469,0.059187
68.5752,0.044116
69.3457,0.046034
70.11621,0.058365
70.88672,0.055899
71.65723,0.038088
72.42773,0.045212
73.19824,0.075628
73.96875,0.143583
74.73926,0.102481
75.50977,0.068504
76.28027,0.04028
77.05078,0.052063
77.82129,0.070148
78.5918,0.0833
79.3623,0.098645
80.13281,0.088781
80.90332,0.134267
81.67383,0.115086
82.44434,0.189618
83.21484,0.151256
83.98535,0.059187
84.75586,0.047404
85.52637,0.046856
86.29688,0.061379
87.06738,0.049597
87.83789,0.042198
88.6084,0.037814
89.37891,0.040554
90.14941,0.052063
90.91992,0.04439
91.69043,0.032334
92.46094,0.026442
93.23145,0.037814
94.00195,0.035074
94.77246,0.049597
95.54297,0.077272
96.31348,0.245517
97.08398,0.23346
97.85449,0.255381
98.625,0.293743
99.39551,0.084944
100.166,0.066311
100.9365,0.033978
101.707,0.051241
102.4775,0.040554
103.248,0.034663
104.0186,0.037266
104.7891,0.026442
105.5596,0.044116
106.3301,0.049597
107.1006,0.057543
107.8711,0.063845
108.6416,0.056721
109.4121,0.040828
110.1826,0.03069
110.9531,0.04576
111.7236,0.050419
112.4941,0.059187
113.2646,0.063845
114.0352,0.071792
114.8057,0.047952
115.5762,0.046582
116.3467,0.055899
117.1172,0.031923
117.8877,0.026031
118.6582,0.040554
119.4287,0.054529
120.1992,0.034663
120.9697,0.032334
121.7402,0.035896
122.5107,0.033978
123.2813,0.050419
124.0518,0.044938
124.8223,0.031923
125.5928,0.035348
126.3633,0.033567
127.1338,0.040828
127.9043,0.033567
128.6748,0.055899
129.4453,0.057543
130.2158,0.071792
130.9863,0.066311
131.7568,0.058365
132.5273,0.046034
133.2979,0.047678
134.0684,0.050145
134.8389,0.04028
135.6094,0.03069
136.3799,0.056721
137.1504,0.075628
137.9209,0.049597
138.6914,0.070148
139.4619,0.098645
140.2324,0.070696
141.0029,0.099193
141.7734,0.107414
142.5439,0.088233
143.3145,0.129335
144.085,0.226884
144.8555,0.388004
145.626,0.872461
146.3965,0.618176
147.167,0.73655
147.9375,0.631329
148.708,0.194002
149.4785,0.130979
150.249,0.158928
151.0195,0.255381
151.79,0.141391
152.5605,0.031512
153.3311,0.039732
154.1016,0.026031
154.8721,0.031101
155.6426,0.038088
156.4131,0.042472
157.1836,0.036718
157.9541,0.051241
158.7246,0.053707
159.4951,0.055077
160.2656,0.097549
161.0361,0.226884
161.8066,0.147968
162.5771,0.113442
163.3477,0.074532
164.1182,0.176465
164.8887,0.143583
165.6592,0.127691
166.4297,0.168793
167.2002,0.208251
167.9707,0.23346
168.7412,0.282783
169.5117,0.271822
170.2822,0.298128
171.0527,0.346354
171.8232,0.447191
172.5938,0.423078
173.3643,0.436231
174.1348,0.339778
174.9053,0.268534
175.6758,0.201675
176.4463,0.248805
177.2168,0.255381
177.9873,0.38362
178.7578,0.271822
179.5283,0.152352
180.2988,0.104125
181.0693,0.180849
181.8398,0.147968
182.6104,0.137007
183.3809,0.111798
184.1514,0.129335
184.9219,0.115086
185.6924,0.076176
186.4629,0.090425
187.2334,0.0833
188.0039,0.074532
188.7744,0.081108
189.5449,0.099193
190.3154,0.115086
191.0859,0.082752
191.8564,0.113442
192.627,0.208251
193.3975,0.344162
194.168,0.176465
194.9385,0.172081
195.709,0.177561
196.4795,0.322241
197.25,0.218115
198.0205,0.073436
198.791,0.113442
199.5615,0.355123
200.332,0.355123
201.1025,0.118374
201.873,0.079464
202.6436,0.064667
203.4141,0.08604
204.1846,0.091521
204.9551,0.092069
205.7256,0.084944
206.4961,0.070696
207.2666,0.099193
208.0371,0.173177
208.8076,0.208251
209.5781,0.183042
210.3486,0.236748
211.1191,0.113442
