Frecuencia(Hz),"	mm/Seg(PC)"
1.541016,0.164409
2.311523,0.219211
3.082031,0.2225
3.852539,0.160024
4.623047,0.200578
5.393555,0.158928
6.164063,0.196194
6.93457,0.272918
7.705078,0.200578
8.475586,0.192906
9.246094,0.284975
10.0166,0.42527
10.78711,0.521723
11.55762,0.30032
12.32813,0.170985
13.09863,0.250997
13.86914,0.280591
14.63965,1.07852
15.41016,1.87645
16.18066,1.280195
16.95117,0.381428
17.72168,0.333201
18.49219,0.324433
19.2627,0.289359
20.0332,0.280591
20.80371,0.192906
21.57422,0.172081
22.34473,0.190714
23.11523,0.183042
23.88574,0.178657
24.65625,0.154544
25.42676,0.138651
26.19727,0.265246
26.96777,0.208251
27.73828,0.166601
28.50879,0.160024
29.2793,0.195098
30.0498,0.236748
30.82031,0.214827
31.59082,0.198386
32.36133,0.168793
33.13184,0.152352
33.90234,0.142487
34.67285,0.132623
35.44336,0.140295
36.21387,0.156736
36.98438,0.152352
37.75488,0.280591
38.52539,0.244421
39.2959,0.087137
40.06641,0.117278
40.83691,0.12221
41.60742,0.192906
42.37793,0.142487
43.14844,0.061105
43.91895,0.067408
44.68945,0.113442
45.45996,0.095357
46.23047,0.090425
47.00098,0.190714
47.77148,0.244421
48.54199,0.626945
49.3125,1.012757
50.08301,0.429654
50.85352,0.112346
51.62402,0.123306
52.39453,0.110154
53.16504,0.088233
53.93555,0.124402
54.70605,0.130431
55.47656,0.096453
56.24707,0.095357
57.01758,0.073436
57.78809,0.094261
58.55859,0.200578
59.3291,0.195098
60.09961,0.136459
60.87012,0.103577
61.64063,0.049597
62.41113,0.106318
63.18164,0.146872
63.95215,0.113442
64.72266,0.106318
65.49316,0.096453
66.26367,0.093165
67.03418,0.113442
67.80469,0.10851
68.5752,0.059187
69.3457,0.078368
70.11621,0.098097
70.88672,0.084396
71.65723,0.04302
72.42773,0.080012
73.19824,0.077272
73.96875,0.176465
74.73926,0.180849
75.50977,0.092069
76.28027,0.091521
77.05078,0.095357
77.82129,0.100289
78.5918,0.0833
79.3623,0.106318
80.13281,0.126595
80.90332,0.214827
81.67383,0.184138
82.44434,0.073984
83.21484,0.100289
83.98535,0.0833
84.75586,0.100289
85.52637,0.098097
86.29688,0.087137
87.06738,0.099193
87.83789,0.094261
88.6084,0.127691
89.37891,0.188522
90.14941,0.195098
90.91992,0.12221
91.69043,0.183042
92.46094,0.234556
93.23145,0.280591
94.00195,0.289359
94.77246,0.486649
95.54297,0.754087
96.31348,3.437235
97.08398,4.086101
97.85449,1.157436
98.625,0.434039
99.39551,0.357315
100.166,0.320049
100.9365,0.132623
101.707,0.147968
102.4775,0.065215
103.248,0.091521
104.0186,0.081108
104.7891,0.050693
105.5596,0.06823
106.3301,0.098097
107.1006,0.062201
107.8711,0.076176
108.6416,0.089329
109.4121,0.103577
110.1826,0.077272
110.9531,0.094261
111.7236,0.200578
112.4941,0.260862
113.2646,0.12221
114.0352,0.036992
114.8057,0.053159
115.5762,0.084396
116.3467,0.066311
117.1172,0.045212
117.8877,0.047678
118.6582,0.054255
119.4287,0.054255
120.1992,0.057269
120.9697,0.063297
121.7402,0.054255
122.5107,0.067408
123.2813,0.06823
124.0518,0.048227
124.8223,0.048227
125.5928,0.046034
126.3633,0.078368
127.1338,0.063297
127.9043,0.060283
128.6748,0.079464
129.4453,0.078368
130.2158,0.045212
130.9863,0.049597
131.7568,0.054803
132.5273,0.063297
133.2979,0.070148
134.0684,0.052611
134.8389,0.054803
135.6094,0.041102
136.3799,0.040006
137.1504,0.046582
137.9209,0.043568
138.6914,0.038088
139.4619,0.045212
140.2324,0.042746
141.0029,0.026853
141.7734,0.040554
142.5439,0.036992
143.3145,0.031375
144.085,0.056173
144.8555,0.053707
145.626,0.152352
